Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220,EMA_Cross,Target_Reached,Predicted_Close,Probability,Confidence,Signal,Daily_Return,Strategy_Return,Cumulative_Returns
2024-10-27,17:30:00,0.67,0.76,0.67,0.77,0.05,0.66,0.71,0.3,-0.05,1,0.75,0.86,0.86,0,,,
2024-10-27,18:00:00,0.77,0.77,0.77,0.77,0.01,0.67,0.73,0.31,-0.06,0,0.77,0.24,0.24,0,0.0,0.0,1.0
2024-10-27,18:30:00,0.77,0.76,0.76,0.77,0.01,0.69,0.74,0.33,-0.05,1,0.77,0.93,0.93,0,0.0,0.0,1.0
2024-10-27,19:00:00,0.77,0.75,0.75,0.76,0.01,0.7,0.75,0.35,-0.05,1,0.76,0.97,0.97,0,-0.012987012987012991,-0.0,1.0
2024-10-27,19:30:00,0.76,0.79,0.76,0.8,0.03,0.71,0.76,0.36,-0.05,1,0.79,0.86,0.86,0,0.05263157894736836,0.0,1.0
2024-10-27,20:00:00,0.8,0.81,0.79,0.78,0.03,0.72,0.76,0.38,-0.04,0,0.79,0.21,0.21,0,-0.025000000000000022,-0.0,1.0
2024-10-27,20:30:00,0.78,0.81,0.79,0.81,0.03,0.75,0.76,0.4,-0.02,1,0.8,0.25,0.25,0,0.03846153846153855,0.0,1.0
2024-10-27,21:00:00,0.81,0.8,0.8,0.8,0.01,0.77,0.76,0.42,0.01,0,0.8,0.05,0.05,0,-0.012345679012345734,-0.0,1.0
2024-10-27,21:30:00,0.8,0.79,0.79,0.78,0.01,0.79,0.76,0.43,0.03,0,0.78,0.05,0.05,0,-0.025000000000000022,-0.0,1.0
2024-10-27,22:00:00,0.78,0.79,0.79,0.8,0.0,0.79,0.76,0.45,0.04,1,0.79,0.16,0.16,0,0.025641025641025772,0.0,1.0
2024-10-27,22:30:00,0.8,0.79,0.8,0.79,0.0,0.8,0.76,0.46,0.04,0,0.79,0.12,0.12,0,-0.012499999999999956,-0.0,1.0
2024-10-27,23:00:00,0.79,0.77,0.77,0.78,0.01,0.8,0.75,0.47,0.05,1,0.78,0.82,0.82,0,-0.012658227848101222,-0.0,1.0
2024-10-27,23:30:00,0.78,0.79,0.79,0.79,0.01,0.8,0.75,0.49,0.05,0,0.79,0.21,0.21,0,0.012820512820512775,0.0,1.0
2024-10-28,00:00:00,0.79,0.82,0.8,0.84,0.01,0.81,0.76,0.5,0.05,1,0.83,0.72,0.72,0,0.06329113924050622,0.0,1.0
2024-10-28,00:30:00,0.84,0.82,0.8,0.8,0.02,0.81,0.77,0.52,0.04,0,0.81,0.21,0.21,0,-0.04761904761904756,-0.0,1.0
2024-10-28,01:00:00,0.8,0.79,0.78,0.77,0.01,0.8,0.77,0.53,0.03,0,0.79,0.32,0.32,0,-0.03749999999999998,-0.0,1.0
2024-10-28,01:30:00,0.77,0.78,0.77,0.79,0.02,0.8,0.78,0.54,0.03,1,0.78,0.47,0.47,0,0.025974025974025983,0.0,1.0
2024-10-28,02:00:00,0.79,0.79,0.79,0.79,0.01,0.8,0.78,0.55,0.02,0,0.79,0.12,0.12,0,0.0,0.0,1.0
2024-10-28,02:30:00,0.79,0.81,0.79,0.82,0.02,0.81,0.79,0.56,0.01,1,0.81,0.28,0.28,0,0.03797468354430378,0.0,1.0
2024-10-28,03:00:00,0.82,0.8,0.81,0.8,0.02,0.81,0.8,0.57,0.0,0,0.81,0.29,0.29,0,-0.024390243902438935,-0.0,1.0
2024-10-28,03:30:00,0.8,0.81,0.78,0.83,0.06,0.81,0.82,0.59,-0.0,1,0.82,0.66,0.66,0,0.03749999999999987,0.0,1.0
2024-10-28,04:00:00,0.83,0.84,0.83,0.84,0.03,0.82,0.82,0.6,-0.0,1,0.84,0.81,0.81,0,0.012048192771084265,0.0,1.0
2024-10-28,04:30:00,0.84,0.84,0.83,0.83,0.02,0.82,0.82,0.61,-0.01,0,0.83,0.37,0.37,0,-0.011904761904761862,-0.0,1.0
2024-10-28,05:00:00,0.83,0.84,0.82,0.85,0.02,0.82,0.83,0.63,-0.0,1,0.84,0.77,0.77,0,0.024096385542168752,0.0,1.0
2024-10-28,05:30:00,0.85,0.85,0.84,0.83,0.03,0.83,0.83,0.64,-0.0,0,0.84,0.51,0.51,0,-0.02352941176470591,-0.0,1.0
2024-10-28,06:00:00,0.83,0.83,0.81,0.81,0.02,0.83,0.83,0.65,0.0,0,0.84,0.53,0.53,0,-0.02409638554216853,-0.0,1.0
2024-10-28,06:30:00,0.8,0.8,0.79,0.8,0.03,0.83,0.83,0.66,0.0,0,0.8,0.09,0.09,0,-0.012345679012345734,-0.0,1.0
2024-10-28,07:00:00,0.79,0.79,0.79,0.79,0.03,0.83,0.83,0.67,-0.0,0,0.79,0.1,0.1,0,-0.012499999999999956,-0.0,1.0
2024-10-28,07:30:00,0.79,0.78,0.75,0.77,0.07,0.83,0.83,0.67,-0.0,0,0.77,0.19,0.19,0,-0.025316455696202556,-0.0,1.0
2024-10-28,08:00:00,0.77,0.83,0.78,0.84,0.08,0.83,0.83,0.68,-0.0,1,0.83,0.77,0.77,0,0.09090909090909083,0.0,1.0
2024-10-28,08:30:00,0.84,0.83,0.8,0.8,0.11,0.82,0.83,0.69,-0.01,0,0.82,0.41,0.41,0,-0.04761904761904756,-0.0,1.0
2024-10-28,09:00:00,0.8,0.78,0.68,0.71,0.59,0.81,0.83,0.69,-0.02,0,0.72,0.15,0.15,0,-0.11250000000000004,-0.0,1.0
2024-10-28,09:30:00,0.7,0.75,0.71,0.76,0.35,0.8,0.83,0.7,-0.03,1,0.75,0.67,0.67,0,0.07042253521126773,0.0,1.0
2024-10-28,10:00:00,0.76,0.77,0.73,0.73,0.33,0.79,0.82,0.7,-0.04,0,0.75,0.23,0.23,0,-0.03947368421052633,-0.0,1.0
2024-10-28,10:30:00,0.73,0.72,0.68,0.71,0.26,0.77,0.82,0.7,-0.04,0,0.7,0.1,0.1,0,-0.0273972602739726,-0.0,1.0
2024-10-28,11:00:00,0.71,0.69,0.67,0.67,0.28,0.76,0.81,0.7,-0.05,0,0.68,0.11,0.11,0,-0.05633802816901401,-0.0,1.0
2024-10-28,11:30:00,0.67,0.7,0.66,0.71,0.2,0.75,0.81,0.71,-0.06,1,0.7,0.75,0.75,0,0.05970149253731338,0.0,1.0
2024-10-28,12:00:00,0.71,0.69,0.66,0.67,0.17,0.74,0.8,0.71,-0.06,0,0.68,0.22,0.22,0,-0.05633802816901401,-0.0,1.0
2024-10-28,12:30:00,0.67,0.68,0.65,0.68,0.19,0.72,0.8,0.71,-0.08,1,0.68,0.39,0.39,0,0.014925373134328401,0.0,1.0
2024-10-28,13:00:00,0.68,0.69,0.69,0.7,0.13,0.71,0.79,0.71,-0.08,1,0.69,0.79,0.79,0,0.02941176470588225,0.0,1.0
2024-10-28,13:30:00,0.7,0.69,0.68,0.67,0.15,0.7,0.78,0.71,-0.08,0,0.67,0.23,0.23,0,-0.042857142857142705,-0.0,1.0
2024-10-28,14:00:00,0.67,0.67,0.65,0.66,0.2,0.69,0.77,0.71,-0.08,0,0.67,0.24,0.24,0,-0.014925373134328401,-0.0,1.0
2024-10-28,14:30:00,0.66,0.66,0.65,0.67,0.16,0.68,0.76,0.71,-0.08,1,0.66,0.71,0.71,0,0.015151515151515138,0.0,1.0
2024-10-28,15:00:00,0.67,0.66,0.62,0.63,0.32,0.67,0.75,0.7,-0.08,0,0.64,0.33,0.33,0,-0.059701492537313494,-0.0,1.0
2024-10-28,15:30:00,0.63,0.63,0.63,0.65,0.1,0.67,0.74,0.7,-0.07,1,0.64,0.86,0.86,0,0.031746031746031855,0.0,1.0
