Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220
2024-10-27,17:30:00,20525.5,20611,20525.25,20608,5084,20525.1388888889,20551.880952381,20467.6117021277
2024-10-27,18:00:00,20606.75,20622.25,20595.5,20608,2085,20529.9444444444,20560.6547619048,20470.5364583333
2024-10-27,18:30:00,20608,20615.5,20591.25,20603,2036,20540.2222222222,20568.1547619048,20473.2397959184
2024-10-27,19:00:00,20602.5,20607.75,20586.25,20598.25,1974,20547.1944444444,20574.869047619,20475.74
2024-10-27,19:30:00,20597.75,20631.5,20592,20626,3101,20556.4166666667,20581.2619047619,20478.6862745098
2024-10-27,20:00:00,20626.75,20649,20613,20614.75,3318,20567.5833333333,20587.1428571429,20481.3028846154
2024-10-27,20:30:00,20614.75,20646.5,20612.5,20638,3585,20583.5277777778,20586.5952380952,20484.2594339623
2024-10-27,21:00:00,20638.25,20644.75,20620.5,20625.75,1768,20599.75,20583.3571428571,20486.8796296296
2024-10-27,21:30:00,20626,20637.5,20614,20615,1836,20615.1944444444,20581.4166666667,20489.2090909091
2024-10-27,22:00:00,20614.75,20633,20614,20626.75,1133,20617.2777777778,20581.0119047619,20491.6651785714
2024-10-27,22:30:00,20626.75,20634.75,20618.75,20621.5,982,20618.7777777778,20581.0714285714,20493.9429824561
2024-10-27,23:00:00,20623,20623,20600.75,20614.25,2024,20620.0277777778,20578.880952381,20496.0172413793
2024-10-27,23:30:00,20612.5,20637.25,20610.5,20623.25,1689,20622.8055555556,20578.130952381,20498.1737288136
2024-10-28,00:00:00,20623.25,20658.5,20621.25,20656.25,2098,20626.1666666667,20582.4880952381,20500.8083333333
2024-10-28,00:30:00,20656.5,20658.5,20623.25,20626.75,2207,20627.5,20588.0238095238,20502.8729508197
2024-10-28,01:00:00,20627,20631.25,20605,20607.5,1706,20624.1111111111,20591.4523809524,20504.560483871
2024-10-28,01:30:00,20607.75,20628.75,20601.75,20617.25,2124,20623.1666666667,20594.9880952381,20506.3492063492
2024-10-28,02:00:00,20617.5,20635.25,20612.25,20621,1449,20623.8333333333,20600.0714285714,20508.140625
2024-10-28,02:30:00,20620.25,20651.5,20613.75,20641,2990,20625.4166666667,20607.0476190476,20510.1846153846
2024-10-28,03:00:00,20641.5,20645.25,20625.75,20629.75,2921,20626.3333333333,20614.1904761905,20511.9962121212
2024-10-28,03:30:00,20630.75,20650,20606.25,20649.25,5819,20630.2222222222,20622.4404761905,20514.0447761194
2024-10-28,04:00:00,20648.25,20668,20643,20661,3929,20634.4166666667,20624.9642857143,20516.2058823529
2024-10-28,04:30:00,20661.25,20668,20641,20649.5,2739,20633.6666666667,20626.9404761905,20518.1376811594
2024-10-28,05:00:00,20649,20670.5,20638,20670,2849,20638.4722222222,20630.130952381,20520.3071428571
2024-10-28,05:30:00,20669.5,20676.5,20649.75,20651.75,3414,20643.3888888889,20632.6785714286,20522.1584507042
2024-10-28,06:00:00,20652.75,20661,20629,20633,2434,20645.1388888889,20633.0119047619,20523.6979166667
2024-10-28,06:30:00,20632.5,20639.25,20611.75,20625,3814,20645.5833333333,20633.5,20525.0856164384
2024-10-28,07:00:00,20624.25,20635.5,20610.25,20619,3732,20643.1388888889,20632.5952380952,20526.3547297297
2024-10-28,07:30:00,20619.25,20624.25,20580.75,20606.25,7487,20640.5277777778,20631.6666666667,20527.42
2024-10-28,08:00:00,20606,20660.5,20603,20659.5,8018,20641.6666666667,20633.7857142857,20529.1578947368
2024-10-28,08:30:00,20658.75,20665.75,20618.25,20626,10828,20637.7777777778,20633.75,20530.4155844156
2024-10-28,09:00:00,20625.25,20626.75,20528.5,20556.25,54787,20627.4166666667,20630.6428571429,20530.7467948718
2024-10-28,09:30:00,20555.75,20607.25,20552.5,20599.25,32919,20619.5555555556,20629.9285714286,20531.6139240506
2024-10-28,10:00:00,20599.5,20618,20564.25,20575.5,30641,20611.0833333333,20627.6547619048,20532.1625
2024-10-28,10:30:00,20575.25,20579.75,20532,20560.25,24299,20603,20623.0833333333,20532.5092592593
2024-10-28,11:00:00,20560.5,20562.5,20520.5,20532,26561,20592.6666666667,20618.5714285714,20532.5030487805
2024-10-28,11:30:00,20532,20571.5,20516.5,20557.5,18796,20585.8333333333,20616.1904761905,20532.8042168675
2024-10-28,12:00:00,20558,20558.5,20517.5,20530.25,16473,20577.3888888889,20612.0476190476,20532.7738095238
2024-10-28,12:30:00,20530.25,20554,20506.75,20537,18247,20563.7777777778,20608.0476190476,20532.8235294118
2024-10-28,13:00:00,20537.75,20560.25,20533.5,20555.5,12739,20555.9444444444,20603.9761904762,20533.0872093023
2024-10-28,13:30:00,20555.5,20560,20526.5,20531.75,14419,20553.2222222222,20599.3095238095,20533.0718390805
2024-10-28,14:00:00,20531.5,20547.75,20504.5,20523.25,19083,20544.7777777778,20593.3095238095,20532.9602272727
2024-10-28,14:30:00,20523.5,20539.25,20505.5,20527.75,15193,20539.4722222222,20586.9642857143,20532.9016853933
2024-10-28,15:00:00,20528,20539,20486,20500.25,29457,20532.8055555556,20579.8571428572,20532.5388888889
2024-10-28,15:30:00,20500.25,20514.75,20490.5,20513.25,9535,20530.7222222222,20572.3928571429,20532.3269230769
2024-10-28,16:00:00,20513.5,20523.25,20507.25,20507.25,2703,20525.1388888889,20565.5119047619,20532.0543478261
2024-10-28,17:30:00,20513,20525.5,20489.25,20493.5,1776,20521.0555555556,20558.8690476191,20531.6397849462
2024-10-28,18:00:00,20493.5,20500.75,20491,20498.25,742,20516.75,20552.8333333333,20531.2845744681
2024-10-28,18:30:00,20498.25,20509,20497.25,20501,946,20510.6944444444,20547.2142857143,20530.9657894737
2024-10-28,19:00:00,20501,20510.75,20494.5,20507,945,20507.9444444444,20542.4880952381,20530.7161458333
2024-10-28,19:30:00,20508,20518.25,20476.25,20515.75,2602,20507.1111111111,20535.6428571429,20530.5618556701
2024-10-28,20:00:00,20516.25,20523.5,20511,20513.25,1640,20505.5,20530.2738095238,20530.3852040816
2024-10-28,20:30:00,20513.5,20517.75,20489,20515.5,2582,20507.1944444444,20528.3333333333,20530.2348484849
2024-10-28,21:00:00,20516.25,20519.5,20497.25,20506.5,1797,20506.4444444444,20523.9166666667,20529.9975
2024-10-28,21:30:00,20507.25,20511.75,20495.5,20503.5,1422,20506.0277777778,20520.4880952381,20529.7351485149
2024-10-28,22:00:00,20503.75,20505.5,20489.75,20501,1477,20506.8611111111,20517.6666666667,20529.4534313726
2024-10-28,22:30:00,20500.75,20518.75,20499,20506.25,1463,20507.75,20516.4404761905,20529.2281553398
2024-10-28,23:00:00,20506,20506.5,20456,20461.5,2857,20503.3611111111,20511.8690476191,20528.5769230769
2024-10-28,23:30:00,20461.25,20489.5,20451,20488,2770,20501.25,20509.8571428572,20528.1904761905
2024-10-29,00:00:00,20488.25,20493.75,20480.25,20492,1383,20498.6111111111,20507.7142857143,20527.8490566038
2024-10-29,00:30:00,20491.75,20501.75,20482.25,20501.25,1543,20497.2777777778,20505.130952381,20527.6004672897
2024-10-29,01:00:00,20500.75,20509.5,20498.75,20507,1250,20496.3333333333,20503.9523809524,20527.4097222222
2024-10-29,01:30:00,20507,20527.5,20506.75,20523,1426,20498.1666666667,20503.9404761905,20527.3692660551
2024-10-29,02:00:00,20522.75,20548.5,20522.75,20544.25,2139,20502.6944444444,20504.7261904762,20527.5227272727
2024-10-29,02:30:00,20543,20554.5,20531,20551.5,2580,20508.3055555556,20507.1666666667,20527.7387387387
2024-10-29,03:00:00,20552.75,20554.75,20525.75,20527.75,2326,20510.6944444444,20507.8571428572,20527.7388392857
2024-10-29,03:30:00,20528.25,20531.25,20481.75,20525.5,6353,20517.8055555556,20508.7261904762,20527.7190265487
2024-10-29,04:00:00,20526,20546.75,20511.25,20526,5253,20522.0277777778,20510.2738095238,20527.7039473684
2024-10-29,04:30:00,20526.75,20529.5,20491.25,20513,5021,20524.3611111111,20510.9761904762,20527.5760869565
2024-10-29,05:00:00,20514,20523.75,20503.25,20517,2646,20526.1111111111,20511.7380952381,20527.4849137931
